#ALMAQUEST spaxel data for SF galaxies
#data has been converted from Salpeter to a Chabrier IMF
#Sigma_H2 and Sigma_SM have units of Msun/pc^2, while Sigma_SFR has units of Msun/yr/kpc^2
#Sigma_H2 Sigma_SM Sigma_SFR
9.9350004196167 39.540000915527344 0.015380303375422955
8.314000129699707 39.45000076293945 0.013781343586742878
6.881999969482422 42.75 0.016693131998181343
5.759999752044678 40.55500030517578 0.02289036102592945
4.86299991607666 23.770000457763672 0.019473638385534286
4.144999980926514 22.610000610351562 0.023395294323563576
3.7239999771118164 28.364999771118164 0.02474178746342659
3.6730000972747803 29.05500030517578 0.019591456279158592
3.759000062942505 21.8799991607666 0.01298186369240284
3.5169999599456787 22.565000534057617 0.00633861031383276
2.6459999084472656 21.274999618530273 0.007144822273403406
2.234999895095825 21.84000015258789 0.008908726274967194
3.549999952316284 19.44499969482422 0.010097005404531956
4.340000152587891 21.475000381469727 0.014735670760273933
4.513000011444092 16.079999923706055 0.019658781588077545
4.355000019073486 18.510000228881836 0.023799242451786995
