#ALMAQUEST spaxel data for green valley galaxies
#data has been converted from Salpeter to a Chabrier IMF
#Sigma_H2 and Sigma_SM have units of Msun/pc^2, while Sigma_SFR has units of Msun/yr/kpc^2
#log10(Sigma_H2) log10(Sigma_SM) log10(Sigma_SFR)
153399994.0 -6.299348995669703 0.22611372725170767
352199994.0 -6.29905299574412 0.22611372728060766
318099994.0 -6.297579995703842 0.22611372748530767
408999994.0 -6.295784995540004 0.22611372768360766
688300026.0 -6.294494995496194 0.22611372770470767
829599994.0 -6.293266995458822 0.22611372767150767
1095000058.0 -6.294774995765607 0.22611372745750766
1400999930.0 -6.296223995855968 0.22611372731380766
1899000058.0 -6.295132995697628 0.22611372734600765
2555000058.0 -6.294872995580505 0.22611372733190765
2343000058.0 -6.296348995643626 0.22611372724590767
2527000058.0 -6.293149995266418 0.22611372742140767
1845999994.0 -6.296862995832186 0.22611372725040765
1109999994.0 -6.294728995881002 0.22611372740730767
1109999994.0 -6.292976995578925 0.22611372753230768
506799994.0 -6.289439995421986 0.22611372775760769
475499994.0 -6.289229995219927 0.22611372779710764
580700026.0 -6.288019995785277 0.22611372796630763
435599994.0 -6.289709996080916 0.2261137279515077
377399994.0 -6.291729995629709 0.22611372786440764
210699994.0 -6.29519399546362 0.22611372760180765
179099994.0 -6.2958799955648885 0.22611372765180765
98399994.0 -6.297711995777632 0.22611372768570764
84489994.0 -6.2987569955857055 0.22611372761440768
145599994.0 -6.2987569955857055 0.22611372741580765
311699994.0 -6.299136995685245 0.22611372729910767
291099994.0 -6.298658995770808 0.22611372735110766
290599994.0 -6.29693999572001 0.22611372755190767
355699994.0 -6.295209995585452 0.22611372765890764
762300026.0 -6.294563995788764 0.22611372758870768
1096999930.0 -6.296020995474379 0.22611372738160768
996999994.0 -6.296476995686959 0.22611372730680768
1725999994.0 -6.293948995529632 0.22611372742940766
2860999930.0 -6.294617995734285 0.22611372735720767
3380999930.0 -6.2948289957111285 0.22611372732070767
3155999994.0 -6.292069995424669 0.22611372744720767
2217999866.0 -6.29578399576522 0.22611372728070767
2851000058.0 -6.293798995784442 0.22611372742520766
1124999930.0 -6.294903995583724 0.22611372739550767
832700026.0 -6.29127899522237 0.22611372763880766
657900026.0 -6.28793999610744 0.22611372785280764
517399994.0 -6.287609995922963 0.22611372790880768
327799994.0 -6.290919995515566 0.22611372775160765
316099994.0 -6.2899799958085225 0.22611372790320766
288599994.0 -6.295862995668273 0.22611372745810768
234999994.0 -6.296705995800863 0.22611372742020766
111799994.0 -6.297338995731394 0.22611372744810768
82419994.0 -6.298836995729204 0.22611372745380767
126599994.0 -6.298108995773788 0.22611372772360766
192299994.0 -6.298215995657216 0.22611372753830766
228899994.0 -6.298235995576675 0.22611372748640768
256199994.0 -6.29742299567252 0.22611372757760767
310799994.0 -6.2951789955822335 0.22611372777800764
455099994.0 -6.294432995489757 0.22611372767310767
865699962.0 -6.296006995833437 0.22611372740440766
848099962.0 -6.297141995628323 0.22611372726900766
1577999994.0 -6.294858995473902 0.22611372738520766
2783999994.0 -6.294614995478611 0.22611372737670765
2983999994.0 -6.294039995524059 0.22611372738120766
3820999930.0 -6.292033996081869 0.22611372745550767
3894000122.0 -6.29634099558271 0.22611372723950768
3335000058.0 -6.296116995739709 0.22611372726690768
2411999994.0 -6.293604995704214 0.22611372744520766
1575999994.0 -6.293277995775412 0.22611372750740766
1101999994.0 -6.2926039952998565 0.22611372756590764
687100026.0 -6.291056995860259 0.22611372767980764
445299994.0 -6.290589995331089 0.22611372776410765
520399994.0 -6.290529995805542 0.22611372786650769
353099994.0 -6.29399299586467 0.22611372764680765
207699994.0 -6.295809995497535 0.22611372750470765
230499994.0 -6.297793995703529 0.22611372733690766
151299994.0 -6.298660995553206 0.22611372730520765
65719994.0 -6.299083995630923 0.22611372741810767
51899994.0 -6.298850995602976 0.22611372773620764
166999994.0 -6.297053995656739 0.22611372790660766
203399994.0 -6.29730899573579 0.22611372771900767
162299994.0 -6.296348995643626 0.22611372784220768
332899994.0 -6.2947439957623885 0.22611372800360768
385999994.0 -6.294255995771806 0.22611372783680767
391999994.0 -6.294760995659004 0.2261137275673077
397599994.0 -6.295105995724867 0.22611372741960767
736599994.0 -6.29661599558122 0.22611372727640766
1529999994.0 -6.296734995788853 0.22611372725780765
2015000058.0 -6.298042995736893 0.22611372718000766
3070000122.0 -6.296071995629887 0.22611372728030765
2171999994.0 -6.291556995942216 0.2261137275000077
3798000122.0 -6.2965849955780016 0.22611372723980766
3067000058.0 -6.2863499956419275 0.22611372782280764
2470000122.0 -6.285079995750408 0.22611372800390767
1423000058.0 -6.288479995562653 0.22611372786860767
1157999994.0 -6.293016995883505 0.22611372758340764
400499994.0 -6.292606996021192 0.22611372765070764
398499994.0 -6.291365995652001 0.22611372785760764
480699994.0 -6.289349995202343 0.22611372826530768
339499994.0 -6.291854995883028 0.22611372814730762
212499994.0 -6.296723995472263 0.22611372755030767
270999994.0 -6.298019995561759 0.22611372738790766
95029994.0 -6.299139995708089 0.22611372728860765
77869994.0 -6.299380995680536 0.22611372739780766
46939994.0 -6.2984149957755164 0.22611372812730762
89379994.0 -6.2972189957489775 0.22611372805630764
108999994.0 -6.297897995564114 0.2261137276655077
142999994.0 -6.295560995697002 0.2261137279848076
327999994.0 -6.295181995837908 0.22611372794180767
393599994.0 -6.294330995644401 0.22611372790460765
166499994.0 -6.292996995731215 0.22611372781460765
525099994.0 -6.294251995741348 0.22611372751060765
656099962.0 -6.296036995596211 0.22611372730740767
853399994.0 -6.296419995485763 0.22611372726110765
1663999994.0 -6.297335995708551 0.22611372721400766
2745999866.0 -6.297312995766248 0.22611372722570766
3183999994.0 -6.295568995757918 0.22611372733170768
3419999994.0 -6.2980089957108305 0.22611372718580766
2843000058.0 -6.294537995590787 0.22611372739060767
2791999994.0 -6.284699995650868 0.22611372804130764
2360999930.0 -6.27184999605916 0.22611372907430766
1633999994.0 -6.292062995604198 0.22611372770770766
1203999994.0 -6.293577995731454 0.22611372763170767
555399994.0 -6.295293995759408 0.22611372755190767
382699994.0 -6.292772995888214 0.2261137280183077
446699994.0 -6.290059995486359 0.22611372894830756
288899994.0 -6.294969995620619 0.22611372839730765
193199994.0 -6.296237995496909 0.22611372804530766
201199994.0 -6.298868995740037 0.22611372742000765
134499994.0 -6.298533995750319 0.22611372751600767
71059994.0 -6.299619995637755 0.22611372743530767
48509994.0 -6.298215995657216 0.22611372792360768
94199994.0 -6.297524995750706 0.22611372785750766
153999994.0 -6.296543995498638 0.2261137278517077
183099994.0 -6.29539499582998 0.22611372787360767
333899994.0 -6.293890995553653 0.22611372792570766
337099994.0 -6.294983995727222 0.22611372763150767
387199994.0 -6.295312995671253 0.22611372745500766
520899994.0 -6.295150995834689 0.22611372736330768
562099962.0 -6.296022995489608 0.22611372726660767
484799994.0 -6.295898995476733 0.22611372726460766
962300026.0 -6.295635995569597 0.22611372729900767
2071000058.0 -6.296270995515357 0.22611372729810766
2548999930.0 -6.297086995675187 0.22611372727060766
2276999930.0 -6.297866995560895 0.22611372722600764
2176999930.0 -6.295429995863657 0.22611372740380767
1920999930.0 -6.294251995741348 0.22611372752420766
1932999930.0 -6.294773995525162 0.22611372753720765
1195000058.0 -6.290359995908062 0.22611372799450763
397699994.0 -6.295302995595108 0.2261137275923077
297399994.0 -6.294904995824169 0.22611372776970767
316799994.0 -6.294765995464246 0.22611372819630765
278699994.0 -6.292911995782475 0.22611373026530762
144699994.0 -6.29890099575087 0.22611372787390766
124599994.0 -6.297863995770882 0.22611372815630765
83939994.0 -6.300034395649988 0.22611372739880767
83979994.0 -6.300039295687299 0.22611372743740765
88299994.0 -6.30001899564914 0.22611372741620767
73329994.0 -6.298797995665069 0.22611372775230765
66429994.0 -6.298021995576988 0.22611372780120764
129999994.0 -6.295739995895843 0.22611372807630764
157199994.0 -6.292999995521228 0.2261137282583076
287599994.0 -6.28931999543957 0.22611372847630767
352999994.0 -6.293387995681684 0.22611372779870764
337099994.0 -6.294302995431195 0.22611372756420767
258199994.0 -6.295254995695274 0.22611372737930766
306299994.0 -6.296262995454441 0.22611372725660767
558899962.0 -6.294989995772909 0.22611372729000767
562499962.0 -6.2936799955768095 0.22611372735670765
945199994.0 -6.293191996051888 0.22611372742910765
1028999994.0 -6.295183995853137 0.22611372738090765
1263999994.0 -6.296773995852988 0.22611372731870766
